HKSCS-2004 HKSCS-2004 in          HKSCS-2004 in          HKSCS-2004 in
in BIG-5   ISO/IEC 10646-1:1993   ISO/IEC 10646-1:2000   ISO/IEC 10646:2003 with Amendment 1
========== ====================   ====================   ===================================
8740       F266                   43F0                    43F0
8741       F267                   4C32                    4C32
8742       F268                   4603                    4603
8743       F269                   45A6                    45A6
8744       F26A                   4578                    4578
8745       F26B                   F26B                   27267
8746       F26C                   4D77                    4D77
8747       F26D                   45B3                    45B3
8748       F26E                   F26E                   27CB1
8749       F26F                   4CE2                    4CE2
874A       F270                   F270                   27CC5
874B       F271                   3B95                    3B95
874C       F272                   4736                    4736
874D       F273                   4744                    4744
874E       F274                   4C47                    4C47
874F       F275                   4C40                    4C40
8750       F276                   F276                   242BF
8751       F277                   F277                   23617
8752       F278                   F278                   27352
8753       F279                   F279                   26E8B
8754       F27A                   F27A                   270D2
8755       F27B                   4C57                    4C57
8756       F27C                   F27C                   2A351
8757       F27D                   474F                    474F
8758       F27E                   45DA                    45DA
8759       F27F                   4C85                    4C85
875A       F280                   F280                   27C6C
875B       F281                   4D07                    4D07
875C       F282                   4AA4                    4AA4
875D       F283                   46A1                    46A1
875E       F284                   F284                   26B23
875F       7225                   7225                    7225
8760       F286                   F286                   25A54
8761       F287                   F287                   21A63
8762       F288                   F288                   23E06
8763       F289                   F289                   23F61
8764       664D                   664D                    664D
8765       56FB                   56FB                    56FB
8767       7D95                   7D95                    7D95
8768       591D                   591D                    591D
8769       F28F                   F28F                   28BB9
876A       F290                   3DF4                    3DF4
876B       9734                   9734                    9734
876C       F292                   F292                   27BEF
876D       5BDB                   5BDB                    5BDB
876E       F294                   F294                   21D5E
876F       5AA4                   5AA4                    5AA4
8770       F296                   3625                    3625
8771       F297                   F297                   29EB0
8772       5AD1                   5AD1                    5AD1
8773       5BB7                   5BB7                    5BB7
8774       5CFC                   5CFC                    5CFC
8775       676E                   676E                    676E
8776       8593                   8593                    8593
8777       F29D                   F29D                   29945
8778       7461                   7461                    7461
8779       749D                   749D                    749D
8840       F303                   F303                    31C0
8841       F304                   F304                    31C1
8842       F305                   F305                    31C2
8843       F306                   F306                    31C3
8844       F307                   F307                    31C4
8845       F308                   F308                   2010C
8846       F309                   F309                    31C5
8847       F30A                   F30A                   200D1
8848       F30B                   F30B                   200CD
8849       F30C                   F30C                    31C6
884A       F30D                   F30D                    31C7
884B       F30E                   F30E                   200CB
884C       F30F                   F30F                   21FE8
884D       F310                   F310                    31C8
884E       F311                   F311                   200CA
884F       F312                   F312                    31C9
8850       F313                   F313                    31CA
8851       F314                   F314                    31CB
8852       F315                   F315                    31CC
8853       F316                   F316                   2010E
8854       F317                   F317                    31CD
8855       F318                   F318                    31CE
8856       0100                   0100                    0100
8857       00C1                   00C1                    00C1
8858       01CD                   01CD                    01CD
8859       00C0                   00C0                    00C0
885A       0112                   0112                    0112
885B       00C9                   00C9                    00C9
885C       011A                   011A                    011A
885D       00C8                   00C8                    00C8
885E       014C                   014C                    014C
885F       00D3                   00D3                    00D3
8860       01D1                   01D1                    01D1
8861       00D2                   00D2                    00D2
8862       F325                   F325             <00CA,0304>
8863       1EBE                   1EBE                    1EBE
8864       F327                   F327             <00CA,030C>
8865       1EC0                   1EC0                    1EC0
8866       00CA                   00CA                    00CA
8867       0101                   0101                    0101
8868       00E1                   00E1                    00E1
8869       01CE                   01CE                    01CE
886A       00E0                   00E0                    00E0
886B       0251                   0251                    0251
886C       0113                   0113                    0113
886D       00E9                   00E9                    00E9
886E       011B                   011B                    011B
886F       00E8                   00E8                    00E8
8870       012B                   012B                    012B
8871       00ED                   00ED                    00ED
8872       01D0                   01D0                    01D0
8873       00EC                   00EC                    00EC
8874       014D                   014D                    014D
8875       00F3                   00F3                    00F3
8876       01D2                   01D2                    01D2
8877       00F2                   00F2                    00F2
8878       016B                   016B                    016B
8879       00FA                   00FA                    00FA
887A       01D4                   01D4                    01D4
887B       00F9                   00F9                    00F9
887C       01D6                   01D6                    01D6
887D       01D8                   01D8                    01D8
887E       01DA                   01DA                    01DA
88A1       01DC                   01DC                    01DC
88A2       00FC                   00FC                    00FC
88A3       F344                   F344             <00EA,0304>
88A4       1EBF                   1EBF                    1EBF
88A5       F346                   F346             <00EA,030C>
88A6       1EC1                   1EC1                    1EC1
88A7       00EA                   00EA                    00EA
88A8       0261                   0261                    0261
88A9       F34A                   F34A                    23DA
88AA       F34B                   F34B                    23DB
8940       F3A0                   F3A0                   2A3A9
8941       F3A1                   F3A1                   21145
8943       650A                   650A                    650A
8946       4E3D                   4E3D                    4E3D
8947       6EDD                   6EDD                    6EDD
8948       9D4E                   9D4E                    9D4E
8949       91DF                   91DF                    91DF
894C       F3AC                   F3AC                   27735
894D       6491                   6491                    6491
894E       4F1A                   4F1A                    4F1A
894F       4F28                   4F28                    4F28
8950       4FA8                   4FA8                    4FA8
8951       5156                   5156                    5156
8952       5174                   5174                    5174
8953       519C                   519C                    519C
8954       51E4                   51E4                    51E4
8955       52A1                   52A1                    52A1
8956       52A8                   52A8                    52A8
8957       533B                   533B                    533B
8958       534E                   534E                    534E
8959       53D1                   53D1                    53D1
895A       53D8                   53D8                    53D8
895B       56E2                   56E2                    56E2
895C       58F0                   58F0                    58F0
895D       5904                   5904                    5904
895E       5907                   5907                    5907
895F       5932                   5932                    5932
8960       5934                   5934                    5934
8961       5B66                   5B66                    5B66
8962       5B9E                   5B9E                    5B9E
8963       5B9F                   5B9F                    5B9F
8964       5C9A                   5C9A                    5C9A
8965       5E86                   5E86                    5E86
8966       603B                   603B                    603B
8967       6589                   6589                    6589
8968       67FE                   67FE                    67FE
8969       6804                   6804                    6804
896A       6865                   6865                    6865
896B       6D4E                   6D4E                    6D4E
896C       70BC                   70BC                    70BC
896D       7535                   7535                    7535
896E       7EA4                   7EA4                    7EA4
896F       7EAC                   7EAC                    7EAC
8970       7EBA                   7EBA                    7EBA
8971       7EC7                   7EC7                    7EC7
8972       7ECF                   7ECF                    7ECF
8973       7EDF                   7EDF                    7EDF
8974       7F06                   7F06                    7F06
8975       7F37                   7F37                    7F37
8976       827A                   827A                    827A
8977       82CF                   82CF                    82CF
8978       836F                   836F                    836F
8979       89C6                   89C6                    89C6
897A       8BBE                   8BBE                    8BBE
897B       8BE2                   8BE2                    8BE2
897C       8F66                   8F66                    8F66
897D       8F67                   8F67                    8F67
897E       8F6E                   8F6E                    8F6E
89A1       7411                   7411                    7411
89A2       7CFC                   7CFC                    7CFC
89A3       7DCD                   7DCD                    7DCD
89A4       6946                   6946                    6946
89A5       7AC9                   7AC9                    7AC9
89A6       5227                   5227                    5227
89AB       918C                   918C                    918C
89AC       78B8                   78B8                    78B8
89AD       915E                   915E                    915E
89AE       80BC                   80BC                    80BC
89B0       8D0B                   8D0B                    8D0B
89B1       80F6                   80F6                    80F6
